,Dialogue
123,
124,
125,'s party
126,people expect
127,'s party knew 'd forbid go since steinem n't going
128,must know attempting go small study friend
129,
130,n't want date
131,'s fair 's mutant
132,never start dating
133,n't get upset 's think might ask
134,leave alone
135,away
136,hey mind
137,yeah noticed part featured big kmart spread elbow tough break
138,oh tell n't ' progressed full hallucination
139,asked meet
140,
141,seen
142,oh good something new different u
143,' looking wrong perspective 're making statement
144,okay okay wo n't go 's like dress anyway
145,listen sound like pissed taking
146,well guess 're since n't date
147,even imagine hell would go bastion commercial excess
148,got drunk puked got rejected big fun
149,n't
150,favor backfired
151,n't choice 's done
152,n't choice
153,went party thought officially opposed suburban social activity
154,care
155,'d say
156,fear
157,think 'll work
158,would school want precious n't forget tiara
159,matter
160,appreciate effort toward speedy 'm consuming mind
161,neither heterosexuality
162,'s never proven
163,n't even go high school
164,would never gone state school
165,huge raging fit insists go male dominated puking frat number one golf team school say
166,could always go 'm sure friend
167,people school incredibly foul
168,imagine thing 'd say sex
169,realize men fine institution severely lacking killing shakespeare beyond scope teenage obsession 're venturing far past daytime talk show fodder entering world need expensive therapy
170,attempted slit
171,'s
172,little
173,eat starving slow way die
174,block e
175,always look
176,'m sure 's completely incapable anything interesting
177,'s verona one gone year heard porn movie
178,verona random skid
179,'s
180,oh get freshman yearbook
181,veggie burger burnt object grill
182,right
183,fender strat bought
184,really like payment bonus sleeping
185,paid take one person truly hate knew set
186,' completely adorable
187,
188,look 'm sorry questioned motif wrong
189,'s something know
190,'d get tux last minute
191,answer question
192,tell
193,create little drama start new rumor
194,n't want 's stupid tradition
195,wo n't go
196,
197,request command
198,'re amazingly self assured anyone ever told
199,
200,something real something one else know
201,tell something true
202,know porn career 's lie
203,duck
204,state
205,
206,
207,something like
208,n't like people expect expect time get disappointed change
209,acting way
210,yeah well n't let get
211,dazzled wit
212,good call
213,partridge
214,want climb show get
215,put right foot
216,c'mon 's bad
217,left sprung dickhead cruised
218,upchuck reflex nothing
219,n't one minute think effect whatsoever panty
220,unwelcome
221,'re
222,
223,
224,want someone 'm
225,oh think know
226,would n't approve
227,
228,
229,'d lie
230,n't
231,jail
232,gone last year
233,'s gigglepuss know like saw
234,
235,know say
236,hey ' think cool n't think laid back like everyone else
237,hate
238,
239,let sit
240,like could find one
241,
242,n't care die
243,'re
244,patronizing
245,know let sleep
246,need lie awhile
247,'m fine 'm
248,funny 're one
249,'m getting trashed n't 're supposed party
250,know raincoat
251,'s want n't
252,depends topic fender n't really whip frenzy
253,hi
254,following
255,covered vomit
256,would
257,n't really think warrant strong emotion
258,like 7 eleven burnside even know name screwboy
259,oh right friday
260,mission life
261,sweating like pig actually
262,go
263,'s matter upset rubbed
264,part beat hell
265,part
266,
267,yeah left bikers big one full sperm
268,want go east coast school want trust make choice want
269,want n't matter
270,'re making decision
271,thought punishing
272,tell seizure
273,someone whose diary devoted favorite grooming tip
274,decided
275,know
276,smack
277,supposed feel better like right time think
278,believe heinous bitch term used often
279,tempestuous
280,point people perceive somewhat
281,still maintain kicked ball merely spectator
282,well yes compared choice expression year today 's event quite mild way rictor 's gonad retrieval operation went quite well 're interested
283,expressing opinion terrorist action
284,katarina stratford 've terrorizing m blaise
285,yeah
286,right
287,think
288,yeah guess
289,hi
290,'re completely demented
291,n't abused n't stupid far tell 're slightly psychotic 're fuck
292,n't discus driving need hemorrhoid
293,'m loss talk year absence
294,n't understand n't done anything asinine week feeling well
295,teeth zipper
296,say exposed freshman girl
297,absolutely
298,daughter went prom
299,great time
300,dr
301,'ll dance 'll kiss 'll come home let go
302,would rather ravished pirate british rear
303,tumescent
304,'s synonym throbbing
305,microwave
306,left three week ago ca n't near
307,'ll go crazy
308,ah leave alone 's harm
309,water 's going putrid barrel
310,tell
311,busy inside
312,took everything
313,tried n't let
314,n't usually ask
315,'s something ca n't decide
316,'m asking swear anything
317,thank
318,find hard believe
319,'d love argue sometimes 're never
320,well 's true wo n't marry 's always leaving
321,know
322,one thing 'd like understand want go back
323,without brother return santo domingo colony explore continent
324,thought
325,old senor colon
326,
327,show inclination speak otherwise
328,ignore verdict council
329,impregnable
330,ocean uncrossable
331,even listening since council said santangel tell honor sincerity fool
332,afraid
333,know tolerate impertinence
334,would think task
335,suggest
336,true buyl
337,n't expecting immediate profit must must give time time
338,yes would pity would n't call back
339,right demand could never granted
340,knew treasurer
341,n't want drag
342,forget enough problem
343,pouring
344,'ll get clothes
345,kitchen
346,right
347,matter happensi 'm glad met
348,'d suggest find another girlfriend n't going jail ten thousand away
349,'s gay jealous
350,'m sorry
351,alright
352,'m sorry n't mean toi 'm glad actually 'm glad 's time hiding never able look anyone eye always afraid someone would find never trusting anyone
353,n't know 'm sorry desperate 's shot imagine 'll got prison
354,'m 'm
355,asking
356,came money knew one could n't get job card get work approached could 've made lot money considered 's pay table 's
357,
358,
359,yes considered
360,sothe station empty
361,somewhere else
362,live alone 've clothes sincethe killing could stop place could take showerbefore go custody
363,married
364,n't send back
365,become custody department
366,yes
367,little shared flat came home one night raping gun chair came shot
368,'re 'll never believe
369,'m small town slovakia like south right wrong fled
370,n't talk immigration
371,tell arrest
372,tamina friend mine shower broken let use
373,told partner ca n't help n't see anything
374,wash hair 's salon 63rd
375,tall short haired scary eye second wasshorter wrestler 's build would n't turn videocamera
376,said cousin told work
377,another came asking
378,'s popular sudden
379,
380,yeah wanted czechoslovakia sent 'cause get know n't really matter killed poor
381,oh g 's dead
382,'s wrong
383,nothin ' say wan na contact
384,'s
385,thank
386,okay
387,okay know 'll swing place grab couple pair shoe maybe test next yourshow 's would good thing
388,promise
389,okay til tonight
390,love
391,yeah 'll 're patronizing
392,promise
393,listen want know 're talking know shoe thing marriage
394,okay great ca n't go 're something
395,yeah
396,oh g want anchor want anchor tonight
397,okay okay hold thought second call 's emergency hold thought call back
398,tell want say
399,n't worry damn wo n't answer
400,last week came blood shoe going
401,look blood shirt whose
402,'re bad
403,well taught huh
404,good holding evidence
405,yes 'm n't stick microphone face could give something
406,alright alright n't patronize
407,stop
408,n't embarrass front colleague could give something
409,problem 'd snap wanted statement
410,hey
411,okay
412,alright
413,alright
414,okay
415,alright cut cut cut
416,suspect custody
417,okay understand partner 's injured correct
418,understand noticed fire somehow related fire department
419,tell u happened
420,drug related
421,go crime
422,many victim
423,look like murder
424,alright alright n't hurt please 's purse
425,look n't give shit want sex 're payin ' time
426,look problem 's reason problem 'm gon na make feel real good wan na czech 'm done wo n't miss n't pay
427,'s confidential could put money dresser
428,'s outcall service run apartment n't meet girl n't gon na get undressed
429,like get business way get pleasure don'tchya put money dresser
430,'m anybody want 'm little schoolgirl 'm mommy 'm czech
431,hi 'm
432,want tape
433,trust 'll want take call
434,'ve got call
435,
436,oh g lunch started making overture talking little shoe next closet got call anchor walked walked trying ask marry
437,alright go ahead
438,want hear everything said
439,mean know told gon na propose
440,well look forward seeing
441,well come iac conference june
442,sure wo n't change mind drink
443,clavius control came air enough transmit refusal
444,'s fine 'm afraid n't get see much day
445,oh 's delightful age
446,charming little
447,'re talkin ' see ya
448,hey n't said n't pro remember
449,hello
450,well maybe 'll see later
451,'s matter place
452,quit bein ' somethin '
453,'re hurry
454,hey n't think hair stylist got interest gettin '
455,go school learn hair 's government program really want model definitely sellin '
456,hey kind talk
457,'m
458,'re impossible
459,tell
460,
461,'ve waiting time hear say
462,'d take back headquarters
463,know 'm
464,oh yeah well look came
465,hurt come back bleeding hand knee know might irrestible
466,might pay reexamine primitive notion bed girlfriend watching tv last week one thing know happen lesbian indian 's girlfriend got upset came looking could 's still vulnerable
467,make think lesbian quaintly put dyke
468,'s paper 's obvious type indian
469,going hard track pure schizo wire crossed totally without pattern kill anybody indian anybody
470,real
471,see pardon saying look like shit happened
472,ought friend thrown
473,hey n't believe
474,fuck
475,hello
476,wait
477,
478,
479,wonder 're popular
480,'m work asshole else
481,way people care supposed behave
482,one called said 's little hot headed sometimes still want occasional roommate 'd like talk get work tonight 's humanly possible
483,get job first everything else especially second get n't like
484,come sacred job
485,look make everything personal responsibility 'll turn bad 's practical way function
486,look spare macho bullshit gun
487,okay
488,made front page
489,great place lunch
490,think forgot hand wallet badge
491,yeah reason 'm sure
492,call later
493,know something really hopeless
494,wish 'd stop trying make mad wo n't care wish 'd give little
495,start attitude 's like n't know
496,maybe make nice excuse
497,'s fairly crummy way start morning
498,maybe would knew coming back
499,know let come place could put shirt morning
500,tell 'm dyin ' hear
501,idea sympathetic interest problem 'll take brutal indifference
502,n't one think psychotherapy bullshit
503,sit back think mean 's say 'm dumb bitch work bar right ca n't read list academic credential every booze hound come place
504,irrigated face shot b 'd poured tried deck sucker
505,bar called dumb bitch today
506,'m wet
507,'re hopeless
508,still n't think 's loaded
509,n't think gun 's loaded
510,wanted
511,due respect sound kind pathetic kind run home momma girlfriend two detective checked
512,'s
513,would know
514,
515,'m sure say thingyou n't look like
516,hell
517,alright 'm cominghold
518,want
519,want 's goin '
520,hell 's wrong n't anything
521,hey
522,akta dedero ansila mektet
523,vano mechteba soun domo kala chon hammas
524,ikset kiba imanetaba oum dalat
525,san agamat chay bet envolet
526,small
527,corn lius
528,
529,would like died peace
530,n't time need know
531,love
532,taught love life others teach love want truly live
533,yes must give stone 's one know use
534,fifth element supreme
535,'re good right chosen
536,
537,minai lekarariba laminai tchai ekbat de sebat
538,eto akta gamat
539,cor ni lious
540,
541,daya deo dono dato dalutan
542,akina delutan nou
543,n't ever ask another thing life 've killed poor hand
544,little sleaze bag
545,pulled together
546,'ve blaring name last hour blockhead
547,dolt ten day fhloston two
548,get want make beg
549,'re making fun 'm warning n't take year sacrifice 'll never forgive
550,listening ingrate
551,'ve playing twice week 20 year 20 year 've eating shitty croquette
552,'re nastiest dirtbag know stinking city
553,tell
554,would need
555,thousand memory none mine need 'm immortal life
556,n't know love 'm like machine programmed save people 's life never one
557,like love
558,'s use saving life see
559,want sleep forever
560,'m tired
561,rain fall
562,wind blow fire
563,protect life
564,five hundred war arm drug money everything create used destroy
565,'m sad
566,'re nothing
567,ca n't concentrate around
568,'m going see sing 's matter look bad
569,ok turn around
570,yes know 's lot difference men woman
571,know woman normally change five time men
572,hoppi hoppa
573,good know say make love
574,apipoussan
575,yes 's turn learned language learn mine
576,900
577,learning language
578,make love
579,love
580,apipoulai
581,dinoine chagantakat
582,
583,valo massa chacha hamas
584,apipoulai
585,died sleep three day ago paper
586,'s dead
587,
588,calling
589,supposed think happened
590,'re killing
591,look look son bitch n't idea 're putting
592,
593,n't 're telling anything
594,could n't
595,owe explanation ca n't treat like
596,'re sorry supposed think
597,n't called n't answer
598,
599,'s going happened
600,happened
601,'s going
602,'s wrong alright
603,
604,hello
605,gun
606,know
607,understand
608,'s town 're playing next week
609,'re using tried fix
610,think 'll time water heater weekend
611,love
612,better smoking 's say
613,'s business
614,okay believe
615,'m accusing
616,kindest sweetest 'd ever want meet oh adored supposed always hoped 'd back time could pray moved better thing get suitcase parent think 's appropriate
617,'s suitcase forgotten till showed picture
618,belonging
619,know happened
620,yes remember
621,yes remember
622,'ll insane thing 'm sure ca n't go sleep 's using
623,ca n't go back sleep
624,iswas 's zapper might help stay awake
625,ca n't find
626,bad
627,
628,
629,'s wrong
630,ricki ca n't
631,would n't let treat like
632,n't want
633,
634,'ll hear kind story 'll tell murder n't
635,happened
636,used nightmare brought friend help started dying
637,
638,'re kinda become expert
639,'d learn much dream
640,daydream dream place fun remember 're control
641,great would n't happen know number
642,really 's fable 'guardian good ' dream like growing
643,sound like game show
644,taught little ever hear dream master
645,could worse
646,love dream hate one
647,yeah 'm sure
648,'m sure 're around
649,seen ca n't find ca n't find anywhere
650,morning 's looking
651,saw night cramming physic test putting little together look
652,saw
653,obvious huh
654,'ve night
655,
656,matching luggage
657,ohhhhbaby dead foot
658,know
659,maybe n't working much n't want get stuck waiting table rest life
660,know hardly time study
661,got ta get library close physic test
662,hurry
663,save later come
664,'s gone i'vecollected like others
665,
666,'s going got ta stop
667,'s okay 're
668,feel sorry
669,'s going got ta stop
670,try keep awake 'll meet 's tonight least n't sleep ca n't get u
671,yeah right let 's trade life rubber room adult wo n't see ca n't
672,n't really get 's nightstalker 'll take bench press beat
673,n't think guess war
674,really
675,last left people killed maybe ca n't get new without someone like someone bring
676,three day
677,story death ca n't argue
678,look know n't believe
679,'ve working double shift
680,n't gave 's dead
681,dream took awful awful
682,suicide accident 's coming back second third fourth
683,know uhalice
684,stayed later school n't feeling well
685,
686,saw dream brought
687,enough crap
688,
689,asthma attackwhat 17 year old fatal asthma attack gon na
690,give time beauty skin deep
691,think 's interested dissecting body admiring
692,alright think see salvation
693,please
694,'ve murdered take goddamn therapy
695,went therapy
696,sorry sorry tennis pal torched 's n't keeping score 's fucking banquet 'm last course
697,'m sorry
698,distraught 'll help
699,'s wrong
700,'re tired n't think n't noticed sleeping stop
701,well 'll tell ya two friend die day let know appetite
702,something matter cuisine
703,told ca n't help n't nightmare 'm doomed
704,'s house 's home 's waiting meto dream
705,'s story happened 's real 's back
706,know really
707,oh killed
708,
709,something wrong stair
710,n't get 's
711,got ta get
712,yeah guess happened
713,'re taking
714,know 've lot 's feeling stake
715,talking condition
716,present condition 're worried ability
717,'s grandchild
718,look appreciate 're offering responsibility
719,well 've thought plan keep
720,frankly dear wondered intend
721,'s okay
722,excuse u dear
723,
724,mean
725,
726,come downstairs wo n't hurt need u
727,say n't like
728,said iwait
729,ohi 'm sure 's true 'll bet 's worried would
730,n't think nice place maybe go find
731,'re waiting
732,hi n't look well feeling right
733,know
734,name
735,n't room
736,huh
737,
738,'re right
739,yeahi guess
740,well exactlyit 's thati felt like n't control first time sinceall 'm scared
741,nothingit 's justi n't see ceremony
742,know
743,ticket
744,n't
745,
746,'ve got go
747,disappointed
748,since smart shopper
749,funny
750,meeting
751,'s coming backkrueger 's coming back make understand
752,'s across park
753,thanks everything
754,take picture
755,
756,'s past unless 've stopped going meeting
757,afraid n't coming
758,'s okay 's got rest life catch sleep
759,sure love stay awake
760,
761,good work
762,'ve got go asylum find said soul 's trapped 's ca n't come must
763,gon na
764,'ve got get 's late
765,
766,actually bothered bury
767,think 's place 's buried
768,yeahso 's 're crazy
769,alright
770,'s reason 're alive
771,lookwe 're tired none u sleep since friday night
772,goddamn n't run away find dream
773,know good acting like crazy n't take leave springwood cool somewhere
774,think 'm look whether believe krueger back 's n't try something
775,'ve got think
776,krueger reality
777,friend 'm worried sick 're like locked safe 've got ta start dealing reality
778,ca n't 's getting 'm awake
779,really think need calm okay
780,know 'm crazy ask show hand
781,oh aliceno love 're going get hold
782,think krueger 's trying something
783,scared 's wrong
784,n't two stick reality
785,n't understand 's happening krueger use dream got awake 's
786,accident tried warn krueger
787,accident like
788,died n't even asleep said end story
789,'s got
790,'re waiting usbut let 's keep dream stuff
791,everyone call everyone
792,must 've wandered child 's wondered wrong
793,n't little floor
794,visited little floor one look kind sad
795,'s dream 'm sorrydan 's dead
796,accident krueger used get dream anymore 's found way
797,yeah revoke diploma
798,good see mr grey 've got go find
799,part nice
800,keeping put window
801,kind night
802,hey 's wrong let 's see smile
803,n't understand
804,poor
805,'ve seen grave
806,meaning
807,'s problem n't deal really might try take said committed suicide
808,think 'm nut
809,could n't 's last danno want
810,going
811,n't know
812,
813,n't go make coffee 's lot tell
814,n't reason 're still none u slept since grad party
815,nobody think
816,
817,must 've fallen asleep table
818,want talk guy
819,okay
820,'s 's fault 's dead
821,'s got thing drinking house
822,mention heartbreak psoriasis
823,give 's hopeless
824,n't believe paint comic 're squeamish
825,
826,know get real 's
827,pimple heartburn cellulite modeling career
828,next life oh 's
829,u right
830,bottom line anybody supernatural want hurt 'll go u first
831,pushy parent make crazy
832,look 's parent pushing pushing hard bitching party last night pressure
833,want talk
834,stop saying 's bullshit
835,nah 's getting cold wonderful kill screw hair 's got model agency coming dinner tomorrow night
836,naah 'm done got shift couple hour n't going
837,another one sound like need
838,mean 're gon na give key pool 'm done
839,yeah
840,right tell 're gon na 've got swimming practice six thirty today
841,make look like
842,thing wild think
843,
844,'s okay
845,ca n't listen
846,
847,vomit
848,two hour day six day week
849,figure show going rich using position selectman year two wo n't recognize town
850,
851,went concord check mel vice treasurer buying mountain 364000 year believe 's 's league
852,three year ago difference huh
853,anybody offered buy
854,checked tax 's farm lately
855,sometimes thing simpler think let ask question
856,
857,
858,always
859,well look sad upset n't mean pry 'm sorry nice funeral
860,alright
861,putting file take milk
862,'s selectman town said tell turn badge office 'm supposed pull cb light car 're town property
863,chub say 're fired
864,say ai n't gon na pay fixin ' car couple hundred clutch got bad news wan na hear
865,bad news 's problem 's truck somebody drove last night figured 'd know something
866,good news n't got car yet bad news
867,old shit
868,want go home
869,oh
870,'re
871,'s illegal know
872,want go home
873,sorry
874,okay
875,okay 'll get want want
876,thing mommy say
877,nothing
878,
879,mommy wo n't let eat fast food know 's bad
880,oh
881,
882,'s pretty old
883,going
884,
885,'s fine mommy come tell 'm
886,yes
887,yes
888,yes
889,told wanted come home n't mad
890,see knew 'd mad
891,want go home said 'd come get
892,yes
893,called mommy
894,n't want n't worry love want go home
895,n't see anybody know n't want go school tomorrow want go home
896,
897,want go home n't like
898,'s stupid
899,'s
900,n't want
901,n't talk anymore
902,think used bad
903,bet lot bad thing
904,'s funny
905,funny
906,
907,yeah 's stupid
908,know
909,
910,n't care 're
911,look still trick treating 're still
912,'s fault 's 're one charge
913,know 'm talking 're say love much love wo n't get away
914,make sick ca n't believe 've sunk
915,see get boot
916,wait 'll right ground
917,let past 'm sorry liked never know much woman like suffer 's like live life sound turned 're gone
918,'ve done talking
919,anymore 's 's far
920,n't cause one 's trying 'rounds ' n't make worse
921,'s grown n't
922,went beer friend hettie whatzizname
923,truck friend
924,'s
925,still n't understand
926,good
927,get number
928,okay wrong holding everyone
929,n't silly hi
930,'m cleaning stuff 's built rummage sale thing cleaner laundromat
931,heard talking got fired morning n't
932,earth happening acting way
933,happened
934,
935,
936,think 're alright
937,sure 're home call
938,know parent
939,tell coming
940,alright 'll think
941,'ve married twice
942,oh
943,guess
944,n't think still think 's good idea press custody thing
945,'s nice
946,way
947,knew
948,
949,would n't done anything like shot someone money
950,mafia hire hewitt
951,would n't kill besides would pay
952,n't need money
953,even think thing would hewitt shoot purpose
954,'s turned one men permanently angry used sweet 's like found could n't play ball anymore changed 's like everyone else
955,heard drunk 's last night got fight hettie drove without
956,'s sort sensitive guess 'll okay week
957,okay
958,call
959,n't 're pissed 's ought cool day talk know work tell feel 's get
960,n't mean
961,'m sorry
962,needing third person went back
963,'m sorry said
964,okay
965,okay
966,n't worry protect virtue mean c'mon give break
967,two want anything tomorrow need third party give call okay 'm
968,'s
969,new hat 's see
970,
971,die
972,maybe take look pipe 'll would
973,'re using today
974,heating house stove
975,ca n't wait
976,something
977,mr thank
978,'s asleep late
979,
980,godsake
981,please
982,'m sorry mean earlier
983,yes dear
984,
985,big secret said thing newsweek
986,'re right 'll tell secret know exactly feel
987,'s really point
988,teasing
989,know lotsa time feel like 's versus world school tease day break bangladesh mean n't take genius important
990,never mean
991,write memoir think 'll devote entire chapter cocoa aboard air force one
992,'s okay right
993,'m sorry
994,'s meeting ca n't disturbed
995,know great really
996,'ll talk home know girl n't lucky girl seeing bolshoi ballet would experience lifetime
997,back fishbowl
998,'re jet lagged 'll talk back
999,give rest
1000,
1001,hey bout cocoa double whip cream
1002,n't even want ask
1003,'m sure 's busy
1004,n't want say hi
1005,yeah duh
1006,well n't dear
1007,'s like n't made u wait time
1008,n't leave u
1009,fuck stupid asshole
1010,shot friend
1011,yeah know word quotassholequot mean
1012,yeah study world event five thousand turkienistan muslim slaughtered stravanvitch 's cleansing along 15 american school know hqw studied went funeral met parent
1013,'re one stravanavitch 's men
1014,thank gunfire
1015,n't drink coffee
1016,
1017,oh ny oh oh
1018,better
1019,
1020,
1021,experience lifetime
1022,oooooh 'm good
1023,got wanted going release u
1024,
1025,please kill leave alone
1026,husband negotiate terrorist
1027,
1028,war
1029,mean 're people
1030,enjoy
1031,brutal
1032,husband courageous
1033,know husband
1034,leave alone
1035,come
1036,want u
1037,n't even driven car since took office
1038,
1039,
1040,n't know stayed
1041,shall ask staff schedule
1042,speech go
1043,trust promise know voter still waiting tax cut
1044,'s point 're right
1045,
1046,know understands n't spent five minute week
1047,godsakes slow stop acting like little dutch even plug world 's leak n't think 's sign 're pushing hard see mtv news person
1048,n't know spin control feel
1049,mr ca n't
1050,speak moment
1051,aquarius
1052,southern plantation fall love poor
1053,reading
1054,told leave downtown
1055,n't make sense
1056,
1057,handle front office people 'll handle press leave downtown downtown board
1058,get wise political reality board lot pressure downtown
1059,forget board want go schedule
1060,um people scream right know
1061,yes mr ask personal question
1062,yes
1063,lever
1064,compute
1065,set
1066,'m
1067,happen
1068,mean
1069,ejected
1070,want know love always
1071,well put
1072,mean start burn
1073,'ve got ten minute
1074,please careful
1075,'s time explain
1076,
1077,toilet 's going kill anyone
1078,'d use word insane
1079,word sick sick
1080,'ve never used word insane
1081,get grip never left hospital
1082,ca n't go back something special 's
1083,n't know got flight n't know 're trying prove
1084,
1085,
1086,
1087,'re taking
1088,
1089,goodbye n't want hurt
1090,'s way want
1091,must remember said first step road sanity admitting 're sick take electro 'll back space center time way 'm leaving
1092,going realize mental hygiene important thing right
1093,'s
1094,eat spaghetti 'll make feel lot better
1095,loved 'll always love need 's stable 's good provider want stage game might fault n't know meaning word fear need
1096,please 're making thing difficult
1097,let 's relax tonight two u 'll make quiet italian dinner way like spaghetti
1098,'re overworked 've flying ground
1099,'s wrong
1100,invitation already gone
1101,te
1102,making progress
1103,good sign
1104,mean
1105,uiu
1106,seemed get worse told
1107,saying
1108,n't want end like friend 'll die
1109,career life people happened thought loved
1110,ca n't change course
1111,'s happening
1112,'m going check 's secondary readout unit
1113,think
1114,n't
1115,become
1116,'ve excited
1117,'m excited
1118,darling 've offered analysis division jupiter probe
1119,hardly believe 'm engaged someone like 'm lucky
1120,
1121,mean cockpit
1122,
1123,disconnect 's higher brain function without disturbing regulatory system
1124,n't think alternative
1125,yes sir
1126,request self analysis hardware software system regarding behavioral change
1127,request life support system check
1128,request comprehensive electrical system check
1129,go ahead
1130,'s okay
1131,'s possible
1132,n't make sense repeat analysis
1133,intermitant failure scan mode r analyze
1134,
1135,okay say got ta relax hospital de moines best sex clinic country
1136,'s important ' clothes sexual potency
1137,take 's last buck 'll need hot meal get
1138,coffee machine jammed n't like
1139,right
1140,poached uandu
1141,would like egg
1142,say
1143,b
1144,sixteen ' c '
1145,'s n ging want buried mercury
1146,let 's go check never appreciated institute
1147,yes
1148,thanks terrific thursday
1149,'s hard l u g h 's dying
1150,relationship remains love change 's change two people share love
1151,people change together relation love
1152,love 's always 's people change
1153,mean relationship
1154,want talk
1155,mean sit 'll take look 'm
1156,'ve hurt
1157,n't excuse 'm understand
1158,yes 's dying ua n du want buried mercury
1159,n't thank 'm dr barrington
1160,excuse alright noticed talking 'm help
1161,'s nice compliment 'd like say thatyou 've done
1162,'m alone
1163,mine 's schiff
1164,wish could fool believing 's reason truth matter nobody ever asked
1165,well 'm afraid 's question 's easy answer
1166,well thing like would n't expected
1167,well really n't vacation see 'm new city school system attending seminar visual aid education la
1168,thank take black like men
1169,ah wo n't sit
1170,'s nice thank
1171,get excited new people
1172,afterawhileyou begin get used
1173,'ll bet exciting thing happen time
1174,yeah something like say n't time tell much
1175,something plane
1176,well tell truth really n't fill many detail told pick
1177,sitsit understand 've got real emergency
1178,oh yes come right
1179,hello 'm airline 'm pick
1180,one know
1181,well
1182,
1183,serious
1184,fish
1185,mister hammen ate fish say five case ate fish
1186,fish
1187,well choice steak fish
1188,certainly
1189,hospital
1190,passenger sick could come take look
1191,sir excuse sir 'm sorry wake
1192,uh huh
1193,gear
1194,wanted know 'm proud
1195,
1196,'re
1197,happened went wrong
1198,'s damn good thing n't know much hate gut
1199,sluggish like wet sponge
1200,little
1201,rain
1202,ca n't fly plane
1203,n't want stay 's time u go back home plan made war
1204,'s problem
1205,patient one expects get immediately
1206,seven zipp died morning sandler say 'll week n't wonderful
1207,'s big building general meet 's important right 've cleared blame happened raid n't good news
1208,got telegram headâ­quarters today
1209,wo n't insist living past
1210,mostly rememberthe night together remember used hold meand used sit face wriggleand afterwards 'd watch sun came almost likelike new day createdonly u
1211,remember everything memory
1212,love
1213,oh please careful worry much
1214,'s matter
1215,youyou n't come n't time
1216,
1217,'s late get back chicago 'm going start life 'm sorry
1218,'s truth 's hurt record since war different city different job one show accept real responsibility
1219,uwaru urecordu 're one keeping alive everyone else 's ancient history
1220,n't take job netz offered boeing
1221,wo n't back 've requested atlanta run
1222,take many thing make love last take respect ca n't live n't respect
1223,patient 've tried help would n't even let
1224,n't want go
1225,
1226,think 've never seen acute
1227,want first
1228,'d better get back
1229,
1230,good bye darling love love darling
1231,good bye
1232,oh 'll keep 'll keep time
1233,every day
1234,oh 'm going miss much
1235,oh 'm warm 'm burning
1236,oh ca n't stand
